205,Alabama
251,Alabama
256,Alabama
334,Alabama
907,Alaska
403,Alberta
780,Alberta
264,Anguilla
268,Antigua/Barbuda
480,Arizona
520,Arizona
602,Arizona
623,Arizona
928,Arizona
479,Arkansas
501,Arkansas
870,Arkansas
242,Bahamas
246,Barbados
441,Bermuda
250,British Columbia
604,British Columbia
778,British Columbia
284,British Virgin Islands
209,California
213,California
310,California
323,California
408,California
415,California
510,California
530,California
559,California
562,California
619,California
626,California
650,California
661,California
707,California
714,California
760,California
805,California
818,California
831,California
858,California
909,California
916,California
925,California
949,California
345,Cayman Islands
670,CNMI
303,Colorado
719,Colorado
720,Colorado
970,Colorado
203,Connecticut
860,Connecticut
302,Delaware
202,District of Columbia
767,Dominica
809,Dominican Republic
239,Florida
305,Florida
321,Florida
352,Florida
386,Florida
407,Florida
561,Florida
727,Florida
754,Florida
772,Florida
786,Florida
813,Florida
850,Florida
863,Florida
904,Florida
941,Florida
954,Florida
229,Georgia
404,Georgia
478,Georgia
678,Georgia
706,Georgia
770,Georgia
912,Georgia
473,Grenada
671,Guam
808,Hawaii
208,Idaho
217,Illinois
224,Illinois
309,Illinois
312,Illinois
618,Illinois
630,Illinois
708,Illinois
773,Illinois
815,Illinois
847,Illinois
219,Indiana
260,Indiana
317,Indiana
574,Indiana
765,Indiana
812,Indiana
319,Iowa
515,Iowa
563,Iowa
641,Iowa
712,Iowa
876,Jamaica
316,Kansas
620,Kansas
785,Kansas
913,Kansas
270,Kentucky
502,Kentucky
606,Kentucky
859,Kentucky
225,Louisiana
318,Louisiana
337,Louisiana
504,Louisiana
985,Louisiana
207,Maine
204,Manitoba
240,Maryland
301,Maryland
410,Maryland
443,Maryland
339,Massachusetts
351,Massachusetts
413,Massachusetts
508,Massachusetts
617,Massachusetts
774,Massachusetts
781,Massachusetts
857,Massachusetts
978,Massachusetts
231,Michigan
248,Michigan
269,Michigan
313,Michigan
517,Michigan
586,Michigan
616,Michigan
734,Michigan
810,Michigan
906,Michigan
947,Michigan
989,Michigan
218,Minnesota
320,Minnesota
507,Minnesota
612,Minnesota
651,Minnesota
763,Minnesota
952,Minnesota
228,Mississippi
601,Mississippi
662,Mississippi
314,Missouri
417,Missouri
573,Missouri
636,Missouri
660,Missouri
816,Missouri
406,Montana
664,Montserrat
456,NANP area
880,NANP area
881,NANP area
882,NANP area
308,Nebraska
402,Nebraska
702,Nevada
775,Nevada
506,New Brunswick
603,New Hampshire
201,New Jersey
551,New Jersey
609,New Jersey
732,New Jersey
848,New Jersey
856,New Jersey
862,New Jersey
908,New Jersey
973,New Jersey
505,New Mexico
212,New York
315,New York
347,New York
516,New York
518,New York
585,New York
607,New York
631,New York
646,New York
716,New York
718,New York
845,New York
914,New York
917,New York
709,Newfoundland
252,North Carolina
336,North Carolina
704,North Carolina
828,North Carolina
910,North Carolina
919,North Carolina
980,North Carolina
701,North Dakota
902,Nova Scotia
216,Ohio
234,Ohio
330,Ohio
419,Ohio
440,Ohio
513,Ohio
567,Ohio
614,Ohio
740,Ohio
937,Ohio
405,Oklahoma
580,Oklahoma
918,Oklahoma
289,Ontario
416,Ontario
519,Ontario
613,Ontario
647,Ontario
705,Ontario
807,Ontario
905,Ontario
503,Oregon
541,Oregon
971,Oregon
215,Pennsylvania
267,Pennsylvania
412,Pennsylvania
484,Pennsylvania
570,Pennsylvania
610,Pennsylvania
717,Pennsylvania
724,Pennsylvania
814,Pennsylvania
878,Pennsylvania
787,Puerto Rico
939,Puerto Rico
418,Quebec
450,Quebec
514,Quebec
819,Quebec
401,Rhode Island
306,Saskatchewan
803,South Carolina
843,South Carolina
864,South Carolina
605,South Dakota
869,St. Kitts & Nevis
758,St. Lucia
784,St. Vincent & Grenadines
423,Tennessee
615,Tennessee
731,Tennessee
865,Tennessee
901,Tennessee
931,Tennessee
210,Texas
214,Texas
254,Texas
281,Texas
325,Texas
361,Texas
409,Texas
430,Texas
432,Texas
469,Texas
512,Texas
682,Texas
713,Texas
806,Texas
817,Texas
830,Texas
832,Texas
903,Texas
915,Texas
936,Texas
940,Texas
956,Texas
972,Texas
979,Texas
868,Trinidad & Tobago
649,Turks & Caicos Islands
710,US
340,US Virgin Islands
435,Utah
801,Utah
802,Vermont
276,Virginia
434,Virginia
540,Virginia
571,Virginia
703,Virginia
757,Virginia
804,Virginia
206,Washington
253,Washington
360,Washington
425,Washington
509,Washington
304,West Virginia
262,Wisconsin
414,Wisconsin
608,Wisconsin
715,Wisconsin
920,Wisconsin
307,Wyoming
867,"Yukon, NW Terr., Nunavut"
